Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
129	233	1	2	46	5	FL_417	TN	1	3	4	A	3
132	780	1	2	18	2	FL_417	TN	1	1	5	E	5
133	224	1	1	18	2	FL_417	TN	1	1	3	B	1
134	209	1	1	22	2	FL_417	TN	1	4	6	A	5
135	146	1	1	19	2	FL_417	TN	1	3	6	C	1
137	232	1	1	30	5	FL_417	TN	1	3	5	B	4
141	212	1	1	30	5	FL_417	TN	1	4	5	D	1
148	172	1	1	29	6	FL_417	TN	1	3	5	A	4
150	249	1	1	19	3	FL_417	TN	1	2	5	D	2
159	521	1	1	34	4	FL_417	TN	1	2	5	E	3
163	572	1	2	57	2	FL_417	TN	1	1	4	B	1
164	275	1	2	37	5	FL_417	TN	1	3	3	A	4
165	359	1	1	38	4	FL_417	TN	1	2	4	D	4
170	479	1	2	39	5	FL_417	TN	1	2	4	D	2
175	178	1	1	18	3	FL_417	TN	1	1	5	E	1
177	597	1	2	42	6	FL_417	TN	1	3	6	B	5
178	304	1	1	37	5	FL_417	TN	1	3	4	D	1
183	308	1	2	50	5	FL_417	TN	1	3	6	D	1
184	289	1	2	38	6	FL_417	TN	1	4	7	E	6
187	225	1	2	29	5	FL_417	TN	1	1	5	E	3
189	240	1	2	41	5	FL_417	TN	1	3	5	B	5
191	268	1	1	24	5	FL_417	TN	1	3	6	D	5
192	334	1	2	63	5	FL_417	TN	1	2	5	E	2
193	193	1	2	32	5	FL_417	TN	1	2	5	C	5
204	227	1	1	34	5	FL_417	TN	1	3	3	A	2
205	185	1	2	36	3	FL_417	TN	1	3	6	B	2
211	183	1	1	37	5	FL_417	TN	1	3	4	A	1
213	340	1	2	69	5	FL_417	TN	1	3	6	E	3
223	194	1	1	19	3	FL_417	TN	1	2	5	E	5
228	175	1	1	22	3	FL_417	TN	1	2	5	A	1
229	167	1	2	58	3	FL_417	TN	1	3	5	E	2
230	322	1	2	50	5	FL_417	TN	1	3	4	B	2
231	151	1	2	35	5	FL_417	TN	1	2	2	D	3
234	241	1	1	32	3	FL_417	TN	1	3	5	E	6
237	299	1	3	22	1	FL_417	TN	1	4	6	A	5
243	188	1	2	24	5	FL_417	TN	1	3	5	B	2
244	495	1	2	67	6	FL_417	TN	1	2	6	B	4
247	342	1	1	22	5	FL_417	TN	1	2	5	A	4
252	336	1	3	19	2	FL_417	TN	1	4	6	E	4
256	286	1	2	22	5	FL_417	TN	1	3	3	C	1
257	378	1	2	49	3	FL_417	TN	1	2	5	C	4
259	240	1	1	30	3	FL_417	TN	1	4	5	B	4
260	218	1	1	23	5	FL_417	TN	1	1	5	B	2
261	327	1	2	23	5	FL_417	TN	1	2	7	E	4
262	579	1	2	23	3	FL_417	TN	1	1	3	E	1
266	338	1	1	21	3	FL_417	TN	1	2	1	E	1
267	402	1	2	25	5	FL_417	TN	1	3	4	B	1
268	147	1	1	32	6	FL_417	TN	1	4	6	D	1
270	314	1	1	34	5	FL_417	TN	1	3	4	E	3
274	520	1	2	56	6	FL_417	TN	1	1	6	A	1
281	590	1	2	40	2	FL_417	TN	1	3	5	E	4
283	546	1	2	46	6	FL_417	TN	1	3	6	B	1
284	521	1	1	29	5	FL_417	TN	1	2	1	C	5
285	601	1	1	33	5	FL_417	TN	1	2	2	B	3
287	560	1	1	19	6	FL_417	TN	1	3	5	E	3
288	601	1	1	54	3	FL_417	TN	1	3	6	E	6
